"key","English","Chinese","Spanish","French","Japanese","Russian"
"Principality of Mingrelia","","明格雷利亚公国","Principado de Mingrelia","Principauté de Mingrélie","サメグレロ公国","Княжество Мингрелия"
"Principality of Sealand","","西兰公国","Principado de Sealand","Principauté de Sealand","シーランド公国","Княжество Силенд"
"Protectorate of Brunei (1906–1959)​","","文莱保护国（1906-1959）","Protectorado de Brunei (1906-1959)","Protectorat de Brunei (1906-1959)​","ブルネイの保護区（1906–1959）","Протекторат Брунея (1906–1959)"
"Rebel Alliance","","叛军联盟","Alianza rebelde","Alliance rebelle","反乱同盟軍","Альянс повстанцев"
"Republic of Biak-na-Bato","","比亚克纳巴托共和国","República de Biak-na-Bato","République de Biak-na-Bato","ビアクナバト共和国","Республика Биак-на-Бато"
"Republic of Bosnia and Herzegovina","","波斯尼亚和黑塞哥维那共和国","República de Bosnia y Herzegovina","République de Bosnie-Herzégovine","ボスニア・ヘルツェゴビナ共和国","Республика Босния и Герцеговина"
"Republic of China (1912–1928)","","中华民国 (1912–1928)","República de China (1912-1928)","République de Chine (1912-1928)","中華民国（1912–1928）","Китайская Республика (1912–1928)"
"Republic of Rose Island","","玫瑰岛共和国","República de Rose Island","République de l'île Rose","ローズ島共和国","Республика Остров Роз"
"Rhodesia","","罗得西亚","Rhodesia","Rhodésie","ローデシア","Родезия"
"Russian Liberation Army","","俄罗斯解放军","Ejército de Liberación Ruso","Armée de libération russe","ロシア解放軍","Русская Освободительная Армия"
"Saga Domain","","佐贺域","Dominio de la saga","Domaine de la saga","佐賀藩","Сага Домен"
"Satsuma Domain","","萨摩域","Dominio de Satsuma","Domaine de Satsuma","薩摩藩","Сацума Домен"
"Saxony","","萨克森","Sajonia","Saxe","ザクセン","Саксония"
"Shinsengumi","","新选组","Shinsengumi","Shinsengumi","新撰組","Синсэнгуми"
"Shu Han","","蜀汉","Shu Han","Shu Han","蜀漢","Шу Хан"
"State of Burma (1942–1945)","","缅甸国 (1942–1945)","Estado de Birmania (1942-1945)","État de Birmanie (1942-1945)","ビルマ国（1942–1945）","Государство Бирма (1942–1945)"
"State of Katanga","","加丹加州","Estado de Katanga","Etat du Katanga","カタンガ共和国","Штат Катанга"
"Taira clan","","平家","Clan taira","clan Taira","平氏","Клан Тайра"
"Takatsukasa family","","高冢家","Familia Takatsukasa","La famille Takatsukasa","鷹司家","Семья Такацукаса"
"Takeda clan","","武田家族","Clan Takeda","Clan Takeda","武田氏","Клан Такеда"
"Tokugawa clan","","德川家","Clan Tokugawa","Clan Tokugawa","徳川氏","Клан Токугава"
"Tosa Domain","","土佐域","Dominio de Tosa","Domaine de Tosa","土佐藩","Домен Тоса"
"Toyotomi clan","","丰臣氏","Clan toyotomi","Clan Toyotomi","豊臣氏","Клан Тоётоми"
"Uesugi​ clan","","上杉氏族","Clan Uesugi","clan Uesugi","上杉氏","Клан Уэсуги"
"Union of Burma","","缅甸联邦","Unión de Birmania","Union de Birmanie","ビルマ連邦","Союз Бирмы"
"United Irishmen","","联合爱尔兰人","Irlandeses Unidos","Irlandais unis","ユナイテッドアイリッシュマン","Объединенные ирландцы"
"Venetian Republic","","威尼斯共和国","República de Venecia","République de Venise","ヴェネツィア共和国","Венецианская Республика"
"Wirmer 1944","","威默 1944","Wirmer 1944","Wirmer 1944","ヴィルマー1944","Вирмер 1944"
"Yaroslavl Oblast","","雅罗斯拉夫尔州","Óblast de Yaroslavl","Oblast de Iaroslavl","ヤロスラヴリ州","Ярославская область"
"","","","","","",""
